Membership No  Date Joined  Active  
    36526      2015-5-11    yes   
    50180      2017-7-9     yes   
    55159      2018-4-8     yes   
    11120      2018-10-24   yes   
    58985      2018-7-10    no    
    31906      2019-4-20    yes   
    78107      2020-4-7     yes   
    80666      2018-9-15    no    
    30258      2015-11-16   yes   
    70184      2018-11-11   no    
    24906      2018-3-15    yes   
    44652      2017-3-1     no    
    26169      2018-2-16    yes   
    37271      2016-2-24    yes   
    58901      2016-8-15    yes   
    42679      2015-3-6     yes   
    38161      2017-7-1     yes   
    24482      2016-11-10   yes   
    34405      2016-5-25    no    
    59141      2016-12-2    yes   
